     llat       llon      rlat       rlon
30.043651 -92.879168 30.114110 -92.908223
30.043676 -92.879175 30.114116 -92.908209
30.043692 -92.879174 30.114118 -92.908197
30.043749 -92.879178 30.114121 -92.908182
30.043807 -92.879182 30.114124 -92.908167
30.043850 -92.879197 30.114113 -92.908158
30.043894 -92.879220 30.114105 -92.908149
30.043938 -92.879235 30.114094 -92.908152
30.043982 -92.879258 30.114091 -92.908164
30.044025 -92.879264 30.114093 -92.908181
30.044063 -92.879297 30.114088 -92.908192
30.044100 -92.879321 30.114075 -92.908182
30.044120 -92.879346 30.114070 -92.908168
30.044149 -92.879371 30.114064 -92.908160
30.044178 -92.879395 30.114059 -92.908143
30.044216 -92.879429 30.114058 -92.908137
30.044246 -92.879462 30.114052 -92.908119
30.044285 -92.879496 30.114044 -92.908096
30.044314 -92.879521 30.114039 -92.908082
30.044361 -92.879554 30.114038 -92.908075
30.044398 -92.879570 30.114007 -92.908098
30.044439 -92.879558 30.113988 -92.908093
30.044461 -92.879539 30.113976 -92.908090
30.044492 -92.879510 30.113969 -92.908074
30.044516 -92.879500 30.113962 -92.908058
30.044548 -92.879488 30.113956 -92.908039
30.044566 -92.879487 30.113953 -92.908024
30.044618 -92.879493 30.113946 -92.908008
30.044661 -92.879491 30.113941 -92.907989
30.044686 -92.879480 30.113933 -92.907977
30.044718 -92.879460 30.113929 -92.907969
30.044756 -92.879421 30.113919 -92.907952
30.044797 -92.879401 30.113906 -92.907939
30.044830 -92.879380 30.113897 -92.907933
30.044863 -92.879369 30.113884 -92.907920
30.044906 -92.879357 30.113867 -92.907912
30.044950 -92.879354 30.113854 -92.907898
30.045014 -92.879368 30.113843 -92.907889
30.045042 -92.879376 30.113832 -92.907883
30.045088 -92.879382 30.113819 -92.907887
30.045125 -92.879389 30.113807 -92.907898
30.045173 -92.879404 30.113799 -92.907906
30.045210 -92.879411 30.113787 -92.907917
30.045245 -92.879400 30.113777 -92.907921
30.045278 -92.879379 30.113762 -92.907921
30.045310 -92.879349 30.113745 -92.907913
30.045315 -92.879321 30.113724 -92.907898
30.045319 -92.879283 30.113710 -92.907878
30.045332 -92.879245 30.113703 -92.907866
30.045352 -92.879197 30.113694 -92.907853
30.045370 -92.879131 30.113678 -92.907843
30.045388 -92.879064 30.113669 -92.907841
30.045415 -92.878996 30.113658 -92.907852
30.045419 -92.878958 30.113653 -92.907864
30.045432 -92.878919 30.113642 -92.907875
30.045445 -92.878881 30.113634 -92.907883
30.045472 -92.878813 30.113621 -92.907890
30.045494 -92.878773 30.113608 -92.907893
30.045509 -92.878744 30.113595 -92.907900
30.045531 -92.878704 30.113583 -92.907900
30.045570 -92.878653 30.113566 -92.907899
30.045603 -92.878621 30.113550 -92.907892
30.045627 -92.878591 30.113537 -92.907885
30.045651 -92.878560 30.113530 -92.907877
30.045673 -92.878520 30.113517 -92.907874
30.045686 -92.878480 30.113500 -92.907870
30.045730 -92.878448 30.113488 -92.907873
30.045765 -92.878425 30.113476 -92.907877
30.045812 -92.878421 30.113463 -92.907887
30.045852 -92.878426 30.113448 -92.907893
30.045893 -92.878442 30.113439 -92.907894
30.045926 -92.878467 30.113424 -92.907896
30.045941 -92.878504 30.113411 -92.907893
